Rank,Player,Team,Prop,Consensus_Line,Line_Range,Books_Two_Way,Circa_Line,Circa_Over,Circa_Under,DraftKings_Line,DraftKings_Over,DraftKings_Under,FanDuel_Line,FanDuel_Over,FanDuel_Under,Caesars_Line,Caesars_Over,Caesars_Under,Best_Over_Book,Best_Over_Line,Best_Over_Odds,Flag
1,Joe Burrow,CIN,Pass TD,32.5,0.0,2,,,,32.5,-115,-105,32.5,-114,-114,,,,FanDuel,32.5,-114,
2,Matthew Stafford,LAR,Pass TD,30.0,1.0,2,,,,30.5,100,-120,29.5,-132,100,,,,DraftKings,30.5,100,
3,Jared Goff,DET,Pass TD,29.5,0.0,2,,,,29.5,-115,-105,29.5,-108,-122,,,,FanDuel,29.5,-108,
4,Brock Purdy,SF,Pass TD,27.5,0.0,2,,,,27.5,-110,-110,27.5,-114,-114,,,,DraftKings,27.5,-110,
5,Dak Prescott,DAL,Pass TD,27.5,0.0,2,,,,27.5,100,-120,27.5,-108,-122,,,,DraftKings,27.5,100,
6,Drake Maye,NE,Pass TD,26.0,1.0,2,,,,26.5,-105,-115,25.5,-144,108,,,,DraftKings,26.5,-105,
7,Justin Herbert,LAC,Pass TD,25.5,0.0,2,,,,25.5,-110,-110,25.5,-108,-122,,,,FanDuel,25.5,-108,
8,Patrick Mahomes,KC,Pass TD,25.5,0.0,1,,,,25.5,-105,-115,,,,,,,DraftKings,25.5,-105,
9,Trevor Lawrence,JAX,Pass TD,25.5,0.0,2,,,,25.5,-110,-110,25.5,-102,-130,,,,FanDuel,25.5,-102,
10,Baker Mayfield,TB,Pass TD,25.5,0.0,2,,,,25.5,110,-130,25.5,-102,-130,,,,DraftKings,25.5,110,
11,Josh Allen,BUF,Pass TD,24.5,0.0,2,,,,24.5,-110,-110,24.5,-120,-110,,,,DraftKings,24.5,-110,
12,Bo Nix,DEN,Pass TD,24.5,0.0,1,,,,24.5,-105,-115,,,,,,,DraftKings,24.5,-105,
13,Jordan Love,GB,Pass TD,24.5,0.0,2,,,,24.5,-105,-115,24.5,-102,-130,,,,FanDuel,24.5,-102,
14,Caleb Williams,CHI,Pass TD,24.5,0.0,2,,,,24.5,100,-115,24.5,100,-132,,,,DraftKings,24.5,100,
15,Lamar Jackson,BAL,Pass TD,24.5,0.0,2,,,,24.5,-115,-105,24.5,104,-138,,,,FanDuel,24.5,104,
16,Sam Darnold,SEA,Pass TD,23.5,0.0,2,,,,23.5,100,-120,23.5,-102,-130,,,,DraftKings,23.5,100,
17,C.J. Stroud,HOU,Pass TD,22.5,0.0,2,,,,22.5,-115,-105,22.5,-122,-108,,,,DraftKings,22.5,-115,
18,Jalen Hurts,PHI,Pass TD,22.0,1.0,2,,,,22.5,-110,-110,21.5,-122,-108,,,,DraftKings,22.5,-110,
19,Aaron Rodgers,PIT,Pass TD,21.5,0.0,1,,,,21.5,-110,-110,,,,,,,DraftKings,21.5,-110,
20,Jayden Daniels,WAS,Pass TD,21.5,0.0,2,,,,21.5,-105,-115,21.5,-102,-130,,,,FanDuel,21.5,-102,
21,Bryce Young,CAR,Pass TD,20.5,0.0,2,,,,20.5,-110,-110,20.5,-114,-114,,,,DraftKings,20.5,-110,
22,Tyler Shough,NO,Pass TD,20.0,1.0,2,,,,20.5,-120,100,19.5,-148,112,,,,DraftKings,20.5,-120,
23,Cam Ward,TEN,Pass TD,20.0,1.0,2,,,,20.5,-105,-115,19.5,102,-136,,,,FanDuel,19.5,102,
24,Jaxson Dart,NYG,Pass TD,19.5,0.0,2,,,,19.5,-115,-105,19.5,-108,-122,,,,FanDuel,19.5,-108,
25,Daniel Jones,IND,Pass TD,19.0,1.0,2,,,,19.5,-110,-110,18.5,-136,102,,,,DraftKings,19.5,-110,
26,Kyler Murray,MIN,Pass TD,18.5,0.0,1,,,,18.5,-110,-110,,,,,,,DraftKings,18.5,-110,
27,Malik Willis,MIA,Pass TD,14.5,0.0,1,,,,14.5,-105,-115,,,,,,,DraftKings,14.5,-105,
28,Deshaun Watson,CLE,Pass TD,12.5,0.0,1,,,,12.5,110,-135,,,,,,,DraftKings,12.5,110,
29,Fernando Mendoza,LV,Pass TD,11.5,0.0,1,,,,24.5,1400,,11.5,-114,-114,,,,FanDuel,11.5,-114,one-way quote only: DraftKings
