Rank,Player,Team,Prop,Consensus_Line,Line_Range,Books_Two_Way,Circa_Line,Circa_Over,Circa_Under,DraftKings_Line,DraftKings_Over,DraftKings_Under,FanDuel_Line,FanDuel_Over,FanDuel_Under,Caesars_Line,Caesars_Over,Caesars_Under,Best_Over_Book,Best_Over_Line,Best_Over_Odds,Flag
1,Jared Goff,DET,Pass Yards,4075.2,49.0,3,4075.5,-135,105,4099.5,100,-120,4050.5,-114,-114,,,,DraftKings,4099.5,100,
2,Dak Prescott,DAL,Pass Yards,3966.8,100.0,3,3900.5,-115,-115,3999.5,-110,-110,4000.5,-114,-114,,,,DraftKings,3999.5,-110,
3,Joe Burrow,CIN,Pass Yards,3925.0,149.0,2,3850.5,-125,-105,3999.5,-110,-110,,,,,,,DraftKings,3999.5,-110,
4,Matthew Stafford,LAR,Pass Yards,3825.2,149.0,3,3750.5,-115,-115,3899.5,-110,-110,3825.5,-114,-114,,,,DraftKings,3899.5,-110,
5,Trevor Lawrence,JAX,Pass Yards,3775.2,50.0,3,3800.5,-115,-115,3774.5,-105,-115,3750.5,-114,-114,,,,DraftKings,3774.5,-105,
6,Drake Maye,NE,Pass Yards,3733.5,149.0,3,3650.5,-115,-115,3799.5,-120,100,3750.5,-114,-114,,,,FanDuel,3750.5,-114,
7,Brock Purdy,SF,Pass Yards,3733.3,99.5,3,3700.0,100,-130,3799.5,-110,-110,3700.5,-114,-114,,,,Circa,3700.0,100,
8,Patrick Mahomes,KC,Pass Yards,3649.5,0.0,1,,,,3649.5,-110,-110,,,,,,,DraftKings,3649.5,-110,
9,Sam Darnold,SEA,Pass Yards,3633.5,99.0,3,3600.5,-115,-115,3699.5,-110,-110,3600.5,-114,-114,,,,DraftKings,3699.5,-110,
10,Caleb Williams,CHI,Pass Yards,3625.2,75.0,3,3650.5,-125,-105,3649.5,-120,100,3575.5,-114,-114,,,,FanDuel,3575.5,-114,
11,Josh Allen,BUF,Pass Yards,3616.8,25.0,3,3625.5,-115,-115,3624.5,-110,-110,3600.5,-114,-114,,,,DraftKings,3624.5,-110,
12,Justin Herbert,LAC,Pass Yards,3567.2,150.0,3,3550.5,-115,-115,3650.5,-115,-105,3500.5,-114,-114,,,,FanDuel,3500.5,-114,
13,C.J. Stroud,HOU,Pass Yards,3550.2,1.0,3,3550.5,-115,-115,3549.5,-110,-110,3550.5,-114,-114,,,,DraftKings,3549.5,-110,
14,Baker Mayfield,TB,Pass Yards,3533.5,99.0,3,3500.5,-115,-115,3599.5,100,-120,3500.5,-114,-114,,,,DraftKings,3599.5,100,
15,Jordan Love,GB,Pass Yards,3525.2,49.0,3,3525.5,-115,-115,3549.5,100,-120,3500.5,-114,-114,,,,DraftKings,3549.5,100,
16,Tyler Shough,NO,Pass Yards,3450.2,100.0,3,3500.5,100,-130,3449.5,-120,100,3400.5,-114,-114,,,,Circa,3500.5,100,
17,Bo Nix,DEN,Pass Yards,3450.0,99.0,2,3400.5,-115,-115,3499.5,-110,-110,,,,,,,DraftKings,3499.5,-110,
18,Daniel Jones,IND,Pass Yards,3300.0,1.0,2,,,,3299.5,-110,-110,3300.5,-114,-114,,,,DraftKings,3299.5,-110,
19,Lamar Jackson,BAL,Pass Yards,3216.8,49.0,3,3200.5,-115,-115,3249.5,-110,-110,3200.5,-114,-114,,,,DraftKings,3249.5,-110,
20,Cam Ward,TEN,Pass Yards,3200.2,99.0,3,3150.5,-115,-115,3249.5,-110,-110,3200.5,-114,-114,,,,DraftKings,3249.5,-110,
21,Jayden Daniels,WAS,Pass Yards,3200.2,200.0,3,3300.5,-115,-115,3199.5,-110,-110,3100.5,-114,-114,,,,DraftKings,3199.5,-110,
22,Jalen Hurts,PHI,Pass Yards,3183.5,99.0,3,3150.5,-115,-115,3249.5,-110,-110,3150.5,-114,-114,,,,DraftKings,3249.5,-110,
23,Jaxson Dart,NYG,Pass Yards,3125.5,50.0,3,3125.5,-115,-115,3150.5,-105,-115,3100.5,-114,-114,,,,DraftKings,3150.5,-105,
24,Aaron Rodgers,PIT,Pass Yards,3075.2,49.0,3,3075.5,-115,-115,3099.5,-110,-110,3050.5,-114,-114,,,,DraftKings,3099.5,-110,
25,Kyler Murray,MIN,Pass Yards,3062.5,26.0,2,3075.5,-130,100,3049.5,-110,-110,,,,,,,DraftKings,3049.5,-110,
26,Malik Willis,MIA,Pass Yards,2925.0,49.0,2,2900.5,-105,-125,2949.5,-110,-110,,,,,,,Circa,2900.5,-105,
27,Bryce Young,CAR,Pass Yards,2900.2,76.0,3,2950.5,105,-135,2874.5,-110,-110,2875.5,-114,-114,,,,Circa,2950.5,105,
28,Fernando Mendoza,LV,Pass Yards,1950.5,0.0,1,,,,3499.5,350,,1950.5,-114,-114,,,,FanDuel,1950.5,-114,one-way quote only: DraftKings
29,Deshaun Watson,CLE,Pass Yards,1749.5,0.0,1,,,,1749.5,100,-120,,,,,,,DraftKings,1749.5,100,
30,Geno Smith,NYJ,Pass Yards,,,0,,,,3499.5,330,,,,,,,,,,,one-way quote only: DraftKings
