Rank,Player,Team,Prop,Consensus_Line,Line_Range,Books_Two_Way,Circa_Line,Circa_Over,Circa_Under,DraftKings_Line,DraftKings_Over,DraftKings_Under,FanDuel_Line,FanDuel_Over,FanDuel_Under,Caesars_Line,Caesars_Over,Caesars_Under,Best_Over_Book,Best_Over_Line,Best_Over_Odds,Flag
1,Derrick Henry,BAL,Rush TD,12.5,0.0,2,,,,12.5,-105,-120,12.5,-132,-102,,,,DraftKings,12.5,-105,
2,Jahmyr Gibbs,DET,Rush TD,12.0,1.0,2,,,,12.5,100,-125,11.5,-148,112,,,,DraftKings,12.5,100,
3,Jonathan Taylor,IND,Rush TD,11.5,0.0,2,,,,11.5,105,-130,11.5,-122,-108,,,,DraftKings,11.5,105,
4,Josh Allen,BUF,Rush TD,11.0,1.0,2,,,,11.5,100,-125,10.5,-128,-104,,,,DraftKings,11.5,100,
5,James Cook,BUF,Rush TD,10.5,0.0,2,,,,10.5,110,-135,10.5,106,-140,,,,DraftKings,10.5,110,
6,Kyren Williams,LAR,Rush TD,9.5,0.0,1,,,,9.5,-125,100,,,,,,,DraftKings,9.5,-125,
7,Javonte Williams,DAL,Rush TD,9.5,0.0,2,,,,9.5,-105,-120,9.5,-128,-104,,,,DraftKings,9.5,-105,
8,Bijan Robinson,ATL,Rush TD,9.0,1.0,2,,,,8.5,-125,100,9.5,-108,-122,,,,FanDuel,9.5,-108,
9,Christian McCaffrey,SF,Rush TD,8.5,0.0,2,,,,8.5,-115,-110,8.5,106,-140,,,,FanDuel,8.5,106,
10,Jalen Hurts,PHI,Rush TD,8.0,1.0,2,,,,8.5,105,-130,7.5,-148,112,,,,DraftKings,8.5,105,
11,Omarion Hampton,LAC,Rush TD,7.5,0.0,2,,,,7.5,-135,110,7.5,-148,112,,,,DraftKings,7.5,-135,
12,Saquon Barkley,PHI,Rush TD,7.5,0.0,2,,,,7.5,-125,100,7.5,-114,-114,,,,FanDuel,7.5,-114,
13,Kenneth Walker,KC,Rush TD,7.5,0.0,2,,,,7.5,-105,-120,7.5,-130,-102,,,,DraftKings,7.5,-105,
14,David Montgomery,HOU,Rush TD,7.5,0.0,2,,,,7.5,-115,-110,7.5,112,-148,,,,FanDuel,7.5,112,
15,D'Andre Swift,CHI,Rush TD,7.5,0.0,1,,,,7.5,130,-165,,,,,,,DraftKings,7.5,130,
16,Quinshon Judkins,CLE,Rush TD,6.5,0.0,1,,,,6.5,-120,-105,,,,,,,DraftKings,6.5,-120,
17,Cam Skattebo,NYG,Rush TD,6.5,0.0,1,,,,6.5,105,-130,,,,,,,DraftKings,6.5,105,
18,Chase Brown,CIN,Rush TD,6.0,1.0,2,,,,6.5,100,-125,5.5,-144,108,,,,DraftKings,6.5,100,
19,Rhamondre Stevenson,NE,Rush TD,5.5,0.0,1,,,,5.5,-145,120,,,,,,,DraftKings,5.5,-145,
20,Jeremiyah Love,ARI,Rush TD,5.5,0.0,2,,,,5.5,-125,100,5.5,-122,-108,,,,FanDuel,5.5,-122,
21,Jaxson Dart,NYG,Rush TD,5.5,0.0,2,,,,5.5,-145,115,5.5,-118,-112,,,,FanDuel,5.5,-118,
22,J.K. Dobbins,DEN,Rush TD,5.5,0.0,1,,,,5.5,105,-130,,,,,,,DraftKings,5.5,105,
23,Bhayshul Tuten,JAX,Rush TD,5.5,0.0,1,,,,5.5,105,-130,,,,,,,DraftKings,5.5,105,
24,Tony Pollard,TEN,Rush TD,5.5,0.0,2,,,,5.5,115,-140,5.5,112,-148,,,,DraftKings,5.5,115,
25,Breece Hall,NYJ,Rush TD,5.5,0.0,1,,,,4.5,-150,,5.5,116,-154,,,,FanDuel,5.5,116,one-way quote only: DraftKings
26,De'Von Achane,MIA,Rush TD,5.5,0.0,1,,,,5.5,130,-155,,,,,,,DraftKings,5.5,130,
27,Rico Dowdle,PIT,Rush TD,5.5,0.0,1,,,,5.5,130,-160,,,,,,,DraftKings,5.5,130,
28,Travis Etienne,NO,Rush TD,5.5,0.0,2,,,,5.5,120,-145,5.5,130,-182,,,,FanDuel,5.5,130,
29,Jaylen Warren,PIT,Rush TD,4.5,0.0,1,,,,4.5,-160,130,,,,,,,DraftKings,4.5,-160,
30,Bucky Irving,TB,Rush TD,4.5,0.0,1,,,,4.5,-140,115,,,,,,,DraftKings,4.5,-140,
31,Jayden Daniels,WAS,Rush TD,4.5,0.0,1,,,,4.5,-120,-105,,,,,,,DraftKings,4.5,-120,
32,Malik Willis,MIA,Rush TD,3.5,0.0,1,,,,3.5,-160,130,,,,,,,DraftKings,3.5,-160,
33,Lamar Jackson,BAL,Rush TD,3.5,0.0,2,,,,3.5,-115,-110,3.5,-130,-102,,,,DraftKings,3.5,-115,
34,Drake Maye,NE,Rush TD,3.5,0.0,2,,,,3.5,-110,-115,3.5,-108,-122,,,,FanDuel,3.5,-108,
35,Ashton Jeanty,LV,Rush TD,,,0,,,,7.5,100,,,,,,,,,,,one-way quote only: DraftKings
36,TreVeyon Henderson,NE,Rush TD,,,0,,,,7.5,225,,,,,,,,,,,one-way quote only: DraftKings
37,Chuba Hubbard,CAR,Rush TD,,,0,,,,4.5,-160,,,,,,,,,,,one-way quote only: DraftKings
