Rank,Player,Team,Prop,Consensus_Line,Line_Range,Books_Two_Way,Circa_Line,Circa_Over,Circa_Under,DraftKings_Line,DraftKings_Over,DraftKings_Under,FanDuel_Line,FanDuel_Over,FanDuel_Under,Caesars_Line,Caesars_Over,Caesars_Under,Best_Over_Book,Best_Over_Line,Best_Over_Odds,Flag
1,Derrick Henry,BAL,Rush Yards,1225.2,49.0,3,1200.5,-125,-105,1249.5,-110,-110,1225.5,-114,-114,,,,DraftKings,1249.5,-110,
2,Jonathan Taylor,IND,Rush Yards,1216.8,25.0,3,1200.5,-115,-115,1224.5,-105,-115,1225.5,-114,-114,,,,DraftKings,1224.5,-105,
3,Jahmyr Gibbs,DET,Rush Yards,1200.2,1.0,3,1200.5,-115,-115,1199.5,-110,-110,1200.5,-114,-114,,,,DraftKings,1199.5,-110,
4,James Cook,BUF,Rush Yards,1183.5,74.0,3,1150.5,-115,-115,1224.5,-110,-110,1175.5,-114,-114,,,,DraftKings,1224.5,-110,
5,Bijan Robinson,ATL,Rush Yards,1175.2,50.0,3,1200.5,-115,-115,1174.5,-110,-110,1150.5,-114,-114,,,,DraftKings,1174.5,-110,
6,Saquon Barkley,PHI,Rush Yards,1066.8,49.0,3,1050.5,-115,-115,1099.5,-110,-110,1050.5,-114,-114,,,,DraftKings,1099.5,-110,
7,De'Von Achane,MIA,Rush Yards,983.5,26.0,3,1000.5,-115,-115,974.5,-110,-110,975.5,-114,-114,,,,DraftKings,974.5,-110,
8,Kenneth Walker,KC,Rush Yards,950.0,1.0,2,,,,949.5,-115,-105,950.5,-114,-114,,,,FanDuel,950.5,-114,
9,Omarion Hampton,LAC,Rush Yards,941.8,25.0,3,950.5,-115,-115,949.5,-110,-110,925.5,-114,-114,,,,DraftKings,949.5,-110,
10,Kyren Williams,LAR,Rush Yards,941.8,25.0,3,950.5,-115,-115,949.5,-110,-110,925.5,-114,-114,,,,DraftKings,949.5,-110,
11,Javonte Williams,DAL,Rush Yards,937.5,24.0,2,,,,949.5,-110,-110,925.5,-114,-114,,,,DraftKings,949.5,-110,
12,Christian McCaffrey,SF,Rush Yards,925.0,49.0,2,,,,949.5,-110,-110,900.5,-114,-114,,,,DraftKings,949.5,-110,
13,Breece Hall,NYJ,Rush Yards,900.5,0.0,2,900.5,-115,-115,999.5,135,,900.5,-114,-114,,,,FanDuel,900.5,-114,one-way quote only: DraftKings
14,Quinshon Judkins,CLE,Rush Yards,858.5,24.0,3,850.5,-105,-125,874.5,-110,-110,850.5,-114,-114,,,,Circa,850.5,-105,
15,Josh Williams,FA,Rush Yards,850.5,0.0,1,850.5,-115,-115,,,,,,,,,,Circa,850.5,-115,
16,Travis Etienne,NO,Rush Yards,850.0,51.0,2,,,,824.5,-110,-110,875.5,-114,-114,,,,DraftKings,824.5,-110,
17,Chase Brown,CIN,Rush Yards,841.8,25.0,3,825.5,-115,-115,849.5,-115,-105,850.5,-114,-114,,,,FanDuel,850.5,-114,
18,D.J. Montgomery,IND,Rush Yards,825.5,0.0,1,825.5,-115,-115,,,,,,,,,,Circa,825.5,-115,
19,D'Andre Swift,CHI,Rush Yards,825.0,1.0,2,825.5,-130,100,824.5,-110,-110,,,,,,,DraftKings,824.5,-110,
20,David Montgomery,HOU,Rush Yards,800.0,1.0,2,,,,799.5,-120,100,800.5,-114,-114,,,,FanDuel,800.5,-114,
21,Bucky Irving,TB,Rush Yards,787.5,24.0,2,775.5,-115,-115,799.5,-110,-110,,,,,,,DraftKings,799.5,-110,
22,Tony Pollard,TEN,Rush Yards,775.2,49.0,3,750.5,-115,-115,799.5,-110,-110,775.5,-114,-114,,,,DraftKings,799.5,-110,
23,Jeremiyah Love,ARI,Rush Yards,775.0,1.0,2,,,,774.5,-110,-110,775.5,-114,-114,,,,DraftKings,774.5,-110,
24,Cam Skattebo,NYG,Rush Yards,775.0,49.0,2,750.5,-105,-125,799.5,-110,-110,,,,,,,Circa,750.5,-105,
25,Bhayshul Tuten,JAX,Rush Yards,737.5,26.0,2,750.5,-115,-115,724.5,-110,-110,,,,,,,DraftKings,724.5,-110,
26,Jadarian Price,SEA,Rush Yards,725.0,1.0,2,725.5,-115,-115,724.5,-110,-110,,,,,,,DraftKings,724.5,-110,
27,Rico Dowdle,PIT,Rush Yards,712.5,26.0,2,725.5,-115,-115,699.5,-110,-110,,,,,,,DraftKings,699.5,-110,
28,Chuba Hubbard,CAR,Rush Yards,700.5,0.0,1,700.5,-105,-125,749.5,125,,,,,,,,Circa,700.5,-105,one-way quote only: DraftKings
29,J.K. Dobbins,DEN,Rush Yards,691.8,26.0,3,700.5,-125,-105,674.5,-110,-110,700.5,-114,-114,,,,DraftKings,674.5,-110,
30,Bryce Henderson,FA,Rush Yards,675.5,0.0,1,675.5,-115,-115,,,,,,,,,,Circa,675.5,-115,
31,Blake Corum,LAR,Rush Yards,675.0,1.0,2,675.5,-115,-115,674.5,-110,-110,,,,,,,DraftKings,674.5,-110,
32,Jordan Mason,MIN,Rush Yards,662.5,26.0,2,675.5,-115,-115,649.5,-110,-110,,,,,,,DraftKings,649.5,-110,
33,Jaylen Warren,PIT,Rush Yards,616.8,25.0,3,600.5,-115,-115,624.5,-110,-110,625.5,-114,-114,,,,DraftKings,624.5,-110,
34,Rhamondre Stevenson,NE,Rush Yards,612.5,24.0,2,600.5,-115,-115,624.5,-105,-115,,,,,,,DraftKings,624.5,-105,
35,Jacory Croskey-Merritt,WAS,Rush Yards,575.5,0.0,1,575.5,-110,-120,749.5,180,,,,,,,,Circa,575.5,-110,one-way quote only: DraftKings
36,Lamar Jackson,BAL,Rush Yards,558.5,74.0,3,525.5,-115,-115,599.5,-110,-110,550.5,-114,-114,,,,DraftKings,599.5,-110,
37,Malik Willis,MIA,Rush Yards,549.5,0.0,1,,,,549.5,-110,-110,,,,,,,DraftKings,549.5,-110,
38,Jayden Daniels,WAS,Rush Yards,537.5,24.0,2,525.5,-115,-115,549.5,-110,-110,,,,,,,DraftKings,549.5,-110,
39,Josh Allen,BUF,Rush Yards,491.8,25.0,3,475.5,-115,-115,499.5,-110,-110,500.5,-114,-114,,,,DraftKings,499.5,-110,
40,Aaron Jones,MIN,Rush Yards,487.5,26.0,2,500.5,120,-150,474.5,-115,-105,,,,,,,Circa,500.5,120,
41,Jaxson Dart,NYG,Rush Yards,466.8,26.0,3,475.5,-115,-115,449.5,-110,-110,475.5,-114,-114,,,,DraftKings,449.5,-110,
42,Isiah Pacheco,DET,Rush Yards,425.5,0.0,1,425.5,-105,-125,,,,,,,,,,Circa,425.5,-105,
43,Jalen Hurts,PHI,Rush Yards,425.2,1.0,3,425.5,-115,-115,424.5,-110,-110,425.5,-114,-114,,,,DraftKings,424.5,-110,
44,Drake Maye,NE,Rush Yards,408.5,24.0,3,400.5,-115,-115,424.5,-110,-110,400.5,-114,-114,,,,DraftKings,424.5,-110,
45,Kyler Murray,MIN,Rush Yards,400.5,0.0,1,400.5,-115,-115,,,,,,,,,,Circa,400.5,-115,
46,Justin Herbert,LAC,Rush Yards,300.5,0.0,1,300.5,-115,-115,,,,,,,,,,Circa,300.5,-115,
47,Ashton Jeanty,LV,Rush Yards,,,0,,,,999.5,100,,,,,,,,,,,one-way quote only: DraftKings
48,TreVeyon Henderson,NE,Rush Yards,,,0,,,,749.5,125,,,,,,,,,,,one-way quote only: DraftKings
49,Trevor Lawrence,JAX,Rush Yards,,,0,,,,749.5,650,,,,,,,,,,,one-way quote only: DraftKings
50,Caleb Williams,CHI,Rush Yards,,,0,,,,749.5,1400,,,,,,,,,,,one-way quote only: DraftKings
